date,year,month,rank,title,artist,weeks
2000-04-01,2000,4,45,Love's The Only House,Martina McBride,9
2000-04-01,2000,4,46,My Best Friend,Tim McGraw,19
2000-04-01,2000,4,47,Whoa!,Black Rob,5
2000-04-01,2000,4,48,He Wasn't Man Enough,Toni Braxton,3
2000-04-01,2000,4,49,Falls Apart,Sugar Ray,12
2000-04-01,2000,4,50,Meet Virginia,Train,26
2000-04-01,2000,4,51,Been There,Clint Black With Steve Wariner,7
2000-04-01,2000,4,52,Back At One,Mark Wills,12
2000-04-01,2000,4,53,He Can't Love U,Jagged Edge,17
2000-04-01,2000,4,54,Feelin' So Good,Jennifer Lopez Featuring Big Pun & Fat Joe,7
2000-04-01,2000,4,55,The Bad Touch,Bloodhound Gang,3
2000-04-01,2000,4,56,Blue (Da Ba Dee),Eiffel 65,17
2000-04-01,2000,4,57,Carlene,Phil Vassar,5
2000-04-01,2000,4,58,Smile,Lonestar,16
2000-04-01,2000,4,59,Cowboy Take Me Away,Dixie Chicks,19
2000-04-01,2000,4,60,That's What I'm Looking For,Da Brat,6
2000-04-01,2000,4,61,Because You Love Me,Jo Dee Messina,10
2000-04-01,2000,4,62,The Way You Love Me,Faith Hill,4
2000-04-01,2000,4,63,Be With You,Enrique Iglesias,1
2000-04-01,2000,4,64,I Wish,Carl Thomas,2
2000-04-01,2000,4,65,Buy Me A Rose,Kenny Rogers With Alison Krauss & Billy Dean,4
2000-04-01,2000,4,66,Love Is Blind,Eve Featuring Faith Evans,13
2000-04-01,2000,4,67,She's More,Andy Griggs,4
2000-04-01,2000,4,68,One Night Stand,J-Shin Featuring LaTocha Scott,15
2000-04-01,2000,4,69,I Need A Hot Girl,Hot Boys,7
2000-04-01,2000,4,70,U Don't Love Me,Kumbia Kings Featuring A.B. Quintanilla,5
2000-04-01,2000,4,71,It Was,Chely Wright,5
2000-04-01,2000,4,72,You Owe Me,Nas Featuring Ginuwine,2
2000-04-01,2000,4,73,Where You Are,Jessica Simpson Featuring Nick Lachey,1
2000-04-01,2000,4,74,Anything,Jay-Z,6
2000-04-01,2000,4,75,Couldn't Last A Moment,Collin Raye,3
2000-04-01,2000,4,76,Shackles (Praise You),Mary Mary,2
2000-04-01,2000,4,77,I Belong To You,Lenny Kravitz,2
2000-04-01,2000,4,78,Private Emotion,Ricky Martin Featuring Meja,4
2000-04-01,2000,4,79,What I Need To Do,Kenny Chesney,1
2000-04-01,2000,4,80,"Ryde Or Die, Chick",The LOX Featuring Timbaland And Eve,3
2000-04-01,2000,4,81,Daddy Won't Sell The Farm,Montgomery Gentry,5
2000-04-01,2000,4,82,This Woman Needs,SHeDAISY,9
2000-04-01,2000,4,83,Mr. Too Damn Good,Gerald Levert,3
2000-04-01,2000,4,84,Can't Stay,Dave Hollister,2
2000-04-01,2000,4,85,Real Live Woman,Trisha Yearwood,1
2000-04-01,2000,4,86,"Left, Right, Left",Drama,8
2000-04-01,2000,4,87,Mirror Mirror,M2M,1
2000-04-01,2000,4,88,Stay Or Let It Go,Brian McKnight,6
2000-04-01,2000,4,89,No More Rain (In This Cloud),Angie Stone,15
2000-04-01,2000,4,90,G'd Up,Snoop Dogg Presents Tha Eastsidaz,13
2000-04-01,2000,4,91,Whistle While You Twurk,Ying Yang Twins,3
2000-04-01,2000,4,92,I'm Outta Love,Anastacia,1
2000-04-01,2000,4,93,No Leaf Clover,Metallica,8
2000-04-01,2000,4,94,Baby Don't Cry (Keep Ya Head Up II),2Pac + Outlawz,6
2000-04-01,2000,4,95,Got To Get It,Sisqo Featuring Make It Hot,20
2000-04-01,2000,4,96,Swear It Again,Westlife,1
2000-04-01,2000,4,97,Unconditional,Clay Davidson,2
2000-04-01,2000,4,98,If You Don't Wanna Love Me,Tamar Braxton,2
2000-04-01,2000,4,99,No Mercy,Ty Herndon,3
2000-04-01,2000,4,100,Re-arranged,Limp Bizkit,18
2000-05-01,2000,5,1,Maria Maria,Santana Featuring The Product G&B,13
2000-05-01,2000,5,2,He Wasn't Man Enough,Toni Braxton,8
2000-05-01,2000,5,3,Breathe,Faith Hill,27
2000-05-01,2000,5,4,Thong Song,Sisqo,15
2000-05-01,2000,5,5,Say My Name,Destiny's Child,20
2000-05-01,2000,5,6,Bye Bye Bye,*NSYNC,15
2000-05-01,2000,5,7,I Try,Macy Gray,12
2000-05-01,2000,5,8,Everything You Want,Vertical Horizon,16
2000-05-01,2000,5,9,Amazed,Lonestar,40
